DIVA;PlatformText;Municipality;MunicipalityID;Longitude;Latitude
60201700;Zwerchäckerweg;Wien;49000001;16.4672331;48.2496461
60201701;Hilde-Hannak-Gasse;Wien;49000001;16.4613132;48.2439093
60201702;Boschstraße, Halteraugasse;Wien;49000001;16.3656606;48.2517158
60201703;Amtshaus Muthgasse;Wien;49000001;16.3696042;48.2517098
60201704;Pasettistraße;Wien;49000001;16.381408;48.2378427
60201705;Handelskai;Wien;49000001;16.3852259;48.2417974
60201706;Kalksburg Lodererweg;Wien;49000001;16.2383783;48.1380066
60201707;Rossinigasse;Wien;49000001;16.2810752;48.1841758
60201708;Mühlhäufelgasse;Wien;49000001;16.5267285;48.2082416
60201709;Viktor-Wittner-Gasse;Wien;49000001;16.5177903;48.2112587
60201710;Kaposigasse;Wien;49000001;16.5166853;48.2022247
60201711;Kahlergasse;Wien;49000001;16.5162901;48.2134556
60201712;Sofie-Lazarsfeld-Straße;Wien;49000001;16.4431492;48.1403025
60201713;Schanzstraße, Akkonplatz;Wien;49000001;16.3145285;48.2012248
60201714;Holbeingasse;Wien;49000001;16.3616451;48.1704941
60201715;Starhemberg-Kaserne;Wien;49000001;16.3570277;48.1708776
60201716;Niedermoserstraße;Wien;49000001;16.4591303;48.2648196
60201718;Spittelbreitengasse;Wien;49000001;16.3290452;48.1760056
60201719;Siebeneichengasse;Wien;49000001;16.3234038;48.1887156
60201720;Franz-Lehár-Gasse;Wien;49000001;16.291855;48.1302967
60201721;Grundäckergasse;Wien;49000001;16.3923765;48.1395412
60201722;Ernanigasse;Wien;49000001;16.3526979;48.1432158
60201724;Simonsgasse;Wien;49000001;16.528049;48.2157303
60201725;Sechshauser Gürtel;Wien;49000001;16.3387291;48.1885359
60201726;Schwenkgasse;Wien;49000001;16.3197387;48.1722555
60201727;Siebenhirten, Basler Gasse;Wien;49000001;16.3087343;48.1299609
60201728;Hainburger Straße;Wien;49000001;16.3971285;48.1990453
60201729;Mantlergasse;Wien;49000001;16.2815154;48.1916201
60201730;Zouvalgasse;Wien;49000001;16.3212838;48.1379167
60201731;Wallenberggasse;Wien;49000001;16.4081599;48.2353836
60201732;Verbindungsweg;Wien;49000001;16.4031742;48.2412949
60201733;Donauturm;Wien;49000001;16.4087887;48.2419949
60201734;Satzberggasse;Wien;49000001;16.258806;48.2018295
60201735;Prandaugasse;Wien;49000001;16.4301506;48.2464218
60201737;Veterinärmedizinische Universität;Wien;49000001;16.4314891;48.2536059
60201738;Vorwärtsplatz;Wien;49000001;16.434732;48.2582412
60201739;Gewerbepark Kagran;Wien;49000001;16.4692453;48.2516081
60201740;Martin-Luther-King-Park;Wien;49000001;16.3517097;48.1755563
60201741;Südrandstraße;Wien;49000001;16.3671428;48.1422328
60201742;Heizwerkstraße;Wien;49000001;16.3641604;48.1385641
60201743;Ferdinand-Frey-Weg;Wien;49000001;16.2278051;48.2147546
60201744;Erbpostgasse;Wien;49000001;16.426746;48.3081501
60201745;Johannes-von-Gott-Platz;Wien;49000001;16.3824052;48.2158799
60201746;Soldanellenweg;Wien;49000001;16.4884064;48.2202613
60201747;Joseph-Roth-Gasse;Wien;49000001;16.394227;48.2219491
60201749;Gasometer;Wien;49000001;16.4177628;48.1855294
60201751;Marietta-Blau-Gasse;Wien;49000001;16.4590404;48.2413966
60201752;Breitenlee Schule;Wien;49000001;16.5014858;48.2512432
60201753;Franz-Schreker-Gasse;Wien;49000001;16.3629476;48.1532311
60201754;Rudolf-Hausner-Gasse;Wien;49000001;16.473692;48.2656687
60201755;Antonsplatz;Wien;49000001;16.3784975;48.1702605
60201756;Simmering, Kaiserebersdorfer Straße;Wien;49000001;16.4219131;48.1691881
60201757;Enkplatz, Gottschalkg.;Wien;49000001;16.4145828;48.1748494
60201758;Savoyenstraße;Wien;49000001;16.2787755;48.2180706
60201759;Stillfriedplatz;Wien;49000001;16.3097943;48.2129588
60201760;Hertha-Firnberg-Straße;Wien;49000001;16.3463647;48.166474
60201761;Wienerberg City;Wien;49000001;16.3447208;48.1679539
60201763;Steinmüllergasse;Wien;49000001;16.3059226;48.2244986
60201764;Umlauftgasse;Wien;49000001;16.3025898;48.2247021
60201766;Jenschikweg;Wien;49000001;16.2933821;48.2240677
60201767;Spinozagasse;Wien;49000001;16.2981252;48.2243191
60201768;Karl-Metschl-Gasse;Wien;49000001;16.3027426;48.2236009
60201769;Nottendorfer Gasse;Wien;49000001;16.4128131;48.1919135
60201770;Franzosengraben;Wien;49000001;16.4138282;48.1877094
60201772;Skraupstraße;Wien;49000001;16.4152835;48.2766646
60201773;Lackenjöchelgasse;Wien;49000001;16.4930057;48.2433589
60201774;Ginsterweg;Wien;49000001;16.4990065;48.254527
60201775;Halban-Kurz-Straße;Wien;49000001;16.3627231;48.1330367
60201776;Breitenlee Schule, Schukowitzgasse;Wien;49000001;16.5016924;48.2527266
60201777;Mühlweg;Wien;49000001;16.3925022;48.2937306
60201779;Radnitzkygasse;Wien;49000001;16.3860972;48.1322273
60201780;Bhf. Kaiserebersdorf;Wien;49000001;16.4656161;48.1464226
60201781;Undsetgasse;Wien;49000001;16.367538;48.1521823
60201782;Pensionistenwohnhaus Föhrenhof;Wien;49000001;16.2723256;48.1658149
60201784;Döblerhofstraße;Wien;49000001;16.4151577;48.1854395
60201785;Ober St. Veit, Franz-Boos-Gasse;Wien;49000001;16.2750834;48.1920992
60201786;Gewerbepark Stadlau;Wien;49000001;16.4628134;48.2456083
60201787;Absbergbrücke;Wien;49000001;16.3865194;48.1677142
60201788;Aspern, Sportplatz;Wien;49000001;16.4806988;48.2136711
60201789;Linzer Straße/Flötzersteig;Wien;49000001;16.2655164;48.2006919
60201790;Bahnhofstraße;Wien;49000001;16.2639533;48.2007757
60201791;Friedhofstraße;Wien;49000001;16.3995809;48.1400867
60201792;Untere Kaistraße;Wien;49000001;16.3991048;48.1367776
60201794;Schmerlingplatz, Volkstheater;Wien;49000001;16.3582135;48.2064995
60201795;Am Heumarkt;Wien;49000001;16.3768805;48.1986442
60201796;Jubiläumswarte;Wien;49000001;16.2654086;48.2211171
60201797;Hotel NH Danube City;Wien;49000001;16.4220837;48.2351981
60201799;Stachegasse;Wien;49000001;16.3116538;48.1618544
60201800;Höhenstraße, Rohrerwiese;Wien;49000001;16.2963376;48.2668049
60201801;Stranitzkygasse;Wien;49000001;16.3181487;48.1760235
60201802;Stryeckgasse;Wien;49000001;16.3961584;48.2593775
60201803;Kurpark Nordosteingang;Wien;49000001;16.4063812;48.1517508
60201804;Hederichgasse;Wien;49000001;16.4052763;48.1527637
60201805;Burgenlandgasse;Wien;49000001;16.4033;48.1525779
60201806;Neuwaldegger Straße;Wien;49000001;16.2878575;48.2369273
60201807;Plankenmaisstraße;Wien;49000001;16.4681134;48.2296751
60201808;Kieslerweg;Wien;49000001;16.5030219;48.2385966
60201809;Fuchsenzeile;Wien;49000001;16.5016924;48.2402898
60201810;Süßenbrunner Straße, Breitenleer Straße;Wien;49000001;16.4769079;48.2510279
60201812;Laimgrubengasse;Wien;49000001;16.3593993;48.1992968
60201813;Akademietheater;Wien;49000001;16.3766739;48.2003446
60201814;Im Gestockert;Wien;49000001;16.5113583;48.2062959
60201815;Ährengrubenweg;Wien;49000001;16.3119593;48.253564
60201816;Carl-Appel-Straße;Wien;49000001;16.3449185;48.1687687
60201817;Brantinggasse;Wien;49000001;16.3809768;48.1513133
60201818;Pichelmayergasse;Wien;49000001;16.3800246;48.1538544
60201819;Saligergasse/Kindergarten;Wien;49000001;16.3765302;48.1564193
60201820;Saligergasse;Wien;49000001;16.3809679;48.1566351
60201821;Schottenwald;Wien;49000001;16.2581592;48.2305787
60201822;Hanslteich;Wien;49000001;16.2691186;48.2376513
60201823;Zentralfriedhof Kindergräber;Wien;49000001;16.4453681;48.1498929
60201825;Haidersberggasse;Wien;49000001;16.24331;48.224355
60201826;Korngoldgasse;Wien;49000001;16.2304551;48.2155986
60201828;Zentralfriedhof 11. Tor;Wien;49000001;16.4293511;48.1519546
60201829;Zentralfriedhof Mahnmal 1938/45;Wien;49000001;16.4419455;48.1494374
60201830;Zentralfriedhof Friedhof-Gärtnerei;Wien;49000001;16.4404004;48.1481068
60201831;Zentralfriedhof Halle 3/Gr. 40;Wien;49000001;16.4431133;48.1467403
60201832;Zentralfriedhof Gruppe 121;Wien;49000001;16.4481978;48.1448882
60201833;Zentralfriedhof Gruppe 152;Wien;49000001;16.451297;48.145038
60201834;Zentralfriedhof Gruppe 147;Wien;49000001;16.4509286;48.143018
