pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,traversal_time
"at:46:30454:0:2_at:46:30454:6_stairs_1","at:46:30454:0:2","at:46:30454:6","2","1","60"
"at:46:30454:0:2_at:46:30454:6_walkway_1","at:46:30454:0:2","at:46:30454:6","1","1","150"
"at:46:30454:0:3_at:46:30454:4_stairs_1","at:46:30454:0:3","at:46:30454:4","2","1","150"
"at:46:30454:0:3_at:46:30454:7_walkway_1","at:46:30454:0:3","at:46:30454:7","1","1","30"
"at:46:30454:3_at:46:30454:4_walkway_1","at:46:30454:3","at:46:30454:4","1","1","120"
"at:46:30454:3_at:46:30454:7_walkway_1","at:46:30454:3","at:46:30454:7","1","1","30"
"at:46:30454:3_at:46:30454:10_walkway_1","at:46:30454:3","at:46:30454:10","1","1","60"
"at:46:30454:4_at:46:30454:5_stairs_1","at:46:30454:4","at:46:30454:5","2","1","60"
"at:46:30454:4_at:46:30454:5_walkway_1","at:46:30454:4","at:46:30454:5","1","1","120"
"at:46:30454:4_at:46:30454:6_walkway_1","at:46:30454:4","at:46:30454:6","1","1","60"
"at:46:30454:4_at:46:30454:7_stairs_1","at:46:30454:4","at:46:30454:7","2","1","150"
"at:46:30454:4_at:46:30454:7_walkway_1","at:46:30454:4","at:46:30454:7","1","1","150"
"at:46:30454:4_at:46:30454:8_walkway_1","at:46:30454:4","at:46:30454:8","1","1","120"
"at:46:30454:4_at:46:30454:9_walkway_1","at:46:30454:4","at:46:30454:9","1","1","150"
"at:46:30454:4_at:46:30454:10_walkway_1","at:46:30454:4","at:46:30454:10","1","1","150"
"at:46:30454:5_at:46:30454:8_walkway_1","at:46:30454:5","at:46:30454:8","1","1","60"
"at:46:30454:5_at:46:30454:9_walkway_1","at:46:30454:5","at:46:30454:9","1","1","60"
"at:46:30454:7_at:46:30454:10_walkway_1","at:46:30454:7","at:46:30454:10","1","1","60"
"at:47:211:0:1_at:47:211:31_stairs_1","at:47:211:0:1","at:47:211:31","2","1","90"
"at:47:211:0:1_at:47:211:31_elevator_1","at:47:211:0:1","at:47:211:31","5","1","120"
"at:47:211:0:1_at:47:211:3_stairs_1","at:47:211:0:1","at:47:211:3","2","1","90"
"at:47:211:0:1_at:47:211:3_elevator_1","at:47:211:0:1","at:47:211:3","5","1","120"
"at:47:211:0:1_at:47:211:4_stairs_1","at:47:211:0:1","at:47:211:4","2","1","90"
"at:47:211:0:1_at:47:211:4_elevator_1","at:47:211:0:1","at:47:211:4","5","1","120"
"at:47:211:0:2_at:47:211:31_stairs_1","at:47:211:0:2","at:47:211:31","2","1","90"
"at:47:211:0:2_at:47:211:31_elevator_1","at:47:211:0:2","at:47:211:31","5","1","120"
"at:47:211:0:2_at:47:211:3_stairs_1","at:47:211:0:2","at:47:211:3","2","1","90"
"at:47:211:0:2_at:47:211:3_elevator_1","at:47:211:0:2","at:47:211:3","5","1","120"
"at:47:211:0:2_at:47:211:4_stairs_1","at:47:211:0:2","at:47:211:4","2","1","90"
"at:47:211:0:2_at:47:211:4_elevator_1","at:47:211:0:2","at:47:211:4","5","1","120"
"at:47:211:30_at:47:211:3_walkway_1","at:47:211:30","at:47:211:3","1","1","180"
"at:47:211:30_at:47:211:4_walkway_1","at:47:211:30","at:47:211:4","1","1","180"
"at:47:2184:0:11_at:47:2184:14_walkway_1","at:47:2184:0:11","at:47:2184:14","1","1","180"
"at:47:2184:0:11_at:47:2184:22_walkway_1","at:47:2184:0:11","at:47:2184:22","1","1","300"
"at:47:2184:0:11_at:47:2184:0:21_walkway_1","at:47:2184:0:11","at:47:2184:0:21","1","1","240"
"at:47:2184:0:11_at:47:2184:36_stairs_1","at:47:2184:0:11","at:47:2184:36","2","1","144"
